Domain,Pad Name,Type,Multiple,Is Static,Default Port,Description,pad2chip,chip2pad,input_en,pu_en,pd_en,schmitt_en,output_en,drive_strength,slew_en
domain_3v3,PAD_JTAG_TCK,PAD_INPUT_V,1,true,,Dedicated JTAG TCK Pad,jtag_tck_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_JTAG_TDI,PAD_INPUT_V,1,true,,Dedicated JTAG TDI Pad,jtag_tdi_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_JTAG_TDO,PAD_BIDIR_V,1,true,,Dedicated JTAG TDO Pad,,jtag_tdo_o,1'b1,1'b0,1'b0,1'b1,jtag_tdo_oe_o,,
domain_3v3,PAD_JTAG_TMS,PAD_INPUT_V,1,true,,Dedicated JTAG TMS Pad,jtag_tms_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_TEST_MODE,PAD_INPUT_V,1,true,,Test Mode,test_mode_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_JTAG_TRST_N,PAD_INPUT_V,1,true,,JTAG TRST,jtag_trst_ni,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_SAFE_JTAG_TCK,PAD_INPUT_V,1,true,,Safety Island JTAG TCK,safety_island_jtag_tck_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_SAFE_JTAG_TMS,PAD_INPUT_V,1,true,,Safety Island JTAG TMS,safety_island_jtag_tms_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_SAFE_JTAG_TDI,PAD_INPUT_V,1,true,,Safety Island JTAG TDI,safety_island_jtag_tdi_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_SAFE_JTAG_TDO,PAD_OUTPUT_V,1,true,,Safety Island JTAG TDO,,safety_island_jtag_tdo_o,,,,,1'b1,,
domain_3v3,PAD_SAFE_JTAG_TRST_N,PAD_INPUT_V,1,true,,Safety Island JTAG TRST,safety_island_jtag_trst_ni,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_SEC_JTAG_TCK,PAD_INPUT_V,1,true,,Security Island JTAG TCK,security_island_jtag_tck_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_SEC_JTAG_TMS,PAD_INPUT_V,1,true,,Security Island JTAG TMS,security_island_jtag_tms_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_SEC_JTAG_TDI,PAD_INPUT_V,1,true,,Security Island JTAG TDI,security_island_jtag_tdi_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_SEC_JTAG_TDO,PAD_BIDIR_V,1,true,,Security Island JTAG TDO,,security_island_jtag_tdo_o,1'b1,1'b0,1'b0,1'b1,security_island_jtag_tdo_oe_o,,
domain_3v3,PAD_SEC_JTAG_TRST_N,PAD_INPUT_V,1,true,,Security Island JTAG TRST,security_island_jtag_trst_ni,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_SEC_UART_TX,PAD_OUTPUT_V,1,true,,Security Island UART TX,,security_island_uart_tx_o,,,,,1'b1,uart_tx_drv_str,uart_tx_slew_en
domain_3v3,PAD_SEC_UART_RX,PAD_INPUT_V,1,true,,Security Island UART RX,security_island_uart_rx_i,,1'b1,1'b1,1'b0,1'b1,,,
domain_3v3,PAD_APB_RX,PAD_INPUT_V,1,true,,APB Subsystem RX,apb_subsystem_rx_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_APB_TX,PAD_OUTPUT_V,1,true,,APB Subsystem TX,,apb_subsystem_tx_o,,,,,1'b1,,
domain_3v3,PAD_CAN_RX,PAD_INPUT_V,1,true,,CAN Bus RX,apb_subsystem_can_bus_rx_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,PAD_CAN_TX,PAD_OUTPUT_V,1,true,,CAN Bus TX,,apb_subsystem_can_bus_tx_o,,,,,1'b1,,
domain_3v3,PAD_CAN_EVENT,PAD_OUTPUT_V,1,true,,CAN Bus Event,,apb_subsystem_can_bus_event_o,,,,,1'b1,,
domain_3v3,PAD_BOOT_MODE_{i},PAD_INPUT_V,2,true,,Boot Mode {i},boot_mode_i_{i},,1'b1,1'b0,1'b0,1'b1,,,
domain_3v3,pad_muxed_gpio_{i},PAD_BIDIR_V,8,false,soc_exports.gpio_{i},GPIO Bus (muxed),,,,,,,,,
